epoch,result_id,status,submitted_at,completed_at,voc_mAP,ap50,ap75,coco_mAP,plane,baseball-diamond,bridge,ground-track-field,small-vehicle,large-vehicle,ship,tennis-court,basketball-court,storage-tank,soccer-ball-field,roundabout,harbor,swimming-pool,helicopter
0,3959,completed,2026-03-11T09:09:42,2026-03-11T09:10:51,0.4172069572762624,0.4172069572762624,0.13272360103421663,0.18048616195502246,0.6032443607133992,0.2903502857068069,0.07269095504389622,0.12516396645690214,0.6863889368794891,0.6001563832383103,0.7438078480223599,0.8941643484892444,0.4915198637541696,0.6548959862619611,0.0062480583649723665,0.30404088449400324,0.2889979738843062,0.47992507387185196,0.01650943396226415
1,3960,completed,2026-03-11T09:09:48,2026-03-11T09:11:56,0.5518702374365064,0.5518702374365064,0.2150957482878471,0.26772477398682176,0.6940720038043028,0.5430179943138664,0.29411399476365613,0.4915638729557641,0.7278545213176357,0.6789896572210413,0.7904545507933571,0.90105230931349,0.537257876265869,0.7110246787923516,0.16770970917676037,0.4924288831299546,0.3542580663084878,0.4927292314410075,0.4015262119500528
2,3961,completed,2026-03-11T09:09:55,2026-03-11T09:13:35,0.6162413881927055,0.6162413881927055,0.3109649377868307,0.3317901961713733,0.8089629858208909,0.5191170286910903,0.3270894960403417,0.550054474759156,0.7500831553182797,0.7392855200028418,0.8505294316082705,0.8991475227092688,0.7291378148655661,0.7544704172946787,0.2275263905469216,0.5174687667790798,0.49229025236022583,0.6228962902497728,0.4555612758441973
3,3962,completed,2026-03-11T09:10:08,2026-03-11T09:14:39,0.6656206507296373,0.6656206507296373,0.34364883798302126,0.36165463986157026,0.8650243275921324,0.7283646059677183,0.43036442515971385,0.5712762387395207,0.7684879135785543,0.7935963710584485,0.8671836038116219,0.9043722861681602,0.7800494325757298,0.7716953857628981,0.37173628330868713,0.6116287274869482,0.5455892811895786,0.6437094752351936,0.3312314033096528
4,3963,completed,2026-03-11T09:10:33,2026-03-11T09:15:55,0.6094879111181835,0.6094879111181835,0.2974578370688998,0.3253361408804924,0.764734789507862,0.6874357293432268,0.3464618458133487,0.4833227473650947,0.6603703736229743,0.7149816765122343,0.8268743940852481,0.8937777281684678,0.7168011083025901,0.7674858122025734,0.32319042160258504,0.4892938972294907,0.5231528210519367,0.6282765654535776,0.3161587565115433
5,3964,completed,2026-03-11T09:11:00,2026-03-11T09:17:33,0.6414618834778859,0.6414618834778859,0.3325158046350768,0.35201184188744405,0.7990247199016494,0.6689407390596994,0.3823650316820379,0.5422459625269347,0.7018055564135324,0.7814043074915434,0.8442404920731433,0.8964258326523731,0.7806910699394753,0.7765583432217616,0.3000065338939979,0.5728850403773232,0.5329579862381916,0.5996645475633666,0.4427120891332595
6,3965,completed,2026-03-11T09:11:11,2026-03-11T09:19:17,0.665139731686174,0.665139731686174,0.35120559764070286,0.3627934294499796,0.8126469693935402,0.7563109760790998,0.41774041328861017,0.5038746987167573,0.6608974611454442,0.7720919599795989,0.8520006196947814,0.9008197036065706,0.8104543581468735,0.7994523452771486,0.36641229798146885,0.5734972094322184,0.6023756267702916,0.6212525544674546,0.5272687813127513
7,3966,completed,2026-03-11T09:11:28,2026-03-11T09:20:11,0.6162413881927055,0.6162413881927055,0.3109649377868307,0.3317901961713733,0.8089629858208909,0.5191170286910903,0.3270894960403417,0.550054474759156,0.7500831553182797,0.7392855200028418,0.8505294316082705,0.8991475227092688,0.7291378148655661,0.7544704172946787,0.2275263905469216,0.5174687667790798,0.49229025236022583,0.6228962902497728,0.4555612758441973
8,3967,completed,2026-03-11T09:11:55,2026-03-11T09:21:20,0.690514496014896,0.690514496014896,0.37329345329771263,0.3836169442645332,0.8082019356335435,0.7731063943609142,0.4278966187974558,0.5323258501430302,0.7713939266066615,0.7984215507157,0.8613185061491535,0.8970349800349401,0.8109101943659804,0.8185532376955135,0.4307879824426897,0.5704049808491961,0.6342062669059827,0.6743717241505242,0.5487832913721576
9,3968,completed,2026-03-11T09:12:25,2026-03-11T09:22:29,0.6976339166060709,0.6976339166060709,0.3826982649781719,0.38886052244830965,0.7988740091111918,0.7903191835001145,0.4502831839766025,0.5678678740833196,0.7450489044189161,0.8107933289996418,0.8611826009899872,0.9013119762536126,0.8084360684236725,0.8207582021709068,0.491178208744622,0.5939167915827064,0.6396448255250746,0.6613572485459204,0.5235363427647747
