epoch,result_id,status,submitted_at,completed_at,voc_mAP,ap50,ap75,coco_mAP,plane,baseball-diamond,bridge,ground-track-field,small-vehicle,large-vehicle,ship,tennis-court,basketball-court,storage-tank,soccer-ball-field,roundabout,harbor,swimming-pool,helicopter
0,4915,completed,2026-03-21T09:58:23,2026-03-21T09:58:55,0.34617078303772203,0.34617078303772203,0.07155946649380275,0.13304551343597662,0.6728196934945361,0.2137969479708459,0.06364324333696803,0.15332996478254599,0.5816957280774031,0.4493592286135097,0.5511100388924676,0.7636671133443826,0.19488547215377275,0.6247110866932718,0.012586937034403882,0.3183998271191666,0.1397319014712575,0.43265129823597875,0.020173264345320293
2,4916,completed,2026-03-21T09:58:35,2026-03-21T11:17:18,0.5445778333046692,0.5445778333046692,0.20552159302305043,0.2618182401452126,0.7440516346201771,0.6320734788350623,0.2942013834171927,0.3664863563322013,0.6857586109687651,0.6370396951029393,0.7590884953454217,0.8811622967542877,0.5305733361593152,0.6776516563753986,0.260829500226739,0.5337257385175866,0.3603924513768003,0.5524776819750746,0.2531551835630756
4,4917,completed,2026-03-21T09:58:43,2026-03-21T10:00:40,0.48085994936072834,0.48085994936072834,0.19791255508087774,0.23722028267927292,0.694779584329835,0.5276194427689574,0.25065452009063205,0.3095376354826882,0.4694652630990275,0.6164249246530867,0.7176201409009785,0.8879786256445585,0.5934913678318126,0.6542442340298612,0.1352954824342206,0.40451428950905943,0.3063812621542368,0.44792857975740613,0.19696388772456422
6,4918,completed,2026-03-21T09:58:51,2026-03-21T10:01:46,0.5446502333971364,0.5446502333971364,0.22912136805655445,0.2734818088926917,0.6894800876476556,0.5697311243757932,0.27576189509584337,0.4524062666219452,0.6118686680885099,0.6486847516266411,0.8083972120002385,0.8826281649789326,0.638371084614372,0.7164538398829632,0.245187367311966,0.4809901495194767,0.3980235212449214,0.5200661814678745,0.23170318647991334
8,4919,completed,2026-03-21T09:58:59,2026-03-21T10:02:52,0.589324267254099,0.589324267254099,0.27298009639040866,0.3038568119072285,0.7447403930227391,0.6360986038759229,0.3249614510296796,0.44486158230065265,0.6672331343051467,0.7046665573355778,0.8254144266753226,0.8869297311996893,0.7045926538767333,0.733114629607526,0.2922384963051185,0.5071458839993742,0.47676566761549805,0.590780185095605,0.3003206125668989
10,4920,completed,2026-03-21T09:59:07,2026-03-21T10:04:00,0.6048700714514343,0.6048700714514343,0.29110292018821293,0.31288565746018926,0.7437050470924153,0.668299054680869,0.32507269981194026,0.4719518173786467,0.643240865125471,0.7350791337622784,0.8367215787434977,0.8913133095590084,0.6922509878605602,0.7616462777351933,0.3589332187268376,0.5400966476228517,0.4944647963930625,0.6035007455039918,0.30677489177489176
12,4921,completed,2026-03-21T09:59:15,2026-03-21T10:05:07,0.6221279350626236,0.6221279350626236,0.29904770715724294,0.325765243424042,0.7597876934606931,0.6771603698016743,0.33448469930027686,0.47146900199502734,0.6819910794955081,0.7409806896884119,0.8447284280841522,0.889980602658464,0.7164008373576262,0.7782307290256057,0.36119800829560306,0.5585177389150613,0.5055913154811565,0.612134038184592,0.39926379419550134
14,4922,completed,2026-03-21T09:59:23,2026-03-21T10:06:15,0.6307534640526211,0.6307534640526211,0.3075478438106656,0.33505401555418407,0.7694045430955938,0.6896403811636965,0.3502042433171398,0.4716294199823294,0.7143430420398789,0.749562622279209,0.8456051869005763,0.8892232667990663,0.7087885973120893,0.7797045058702042,0.36295614289997036,0.5350243494489915,0.5224194582780444,0.6143021936554582,0.45849400774706806
16,4923,completed,2026-03-21T09:59:31,2026-03-21T10:07:23,0.6361236162916285,0.6361236162916285,0.31648301502644677,0.3402004624813079,0.7713232071693369,0.687318710998528,0.359129930394851,0.4722353837295644,0.7242218306965041,0.7541568248644481,0.8492144399129081,0.8919643433072418,0.7299328646680885,0.7856141635410775,0.36604166943140426,0.5290206902266342,0.5270750094051788,0.6119009253158867,0.4827042507127742
18,4924,completed,2026-03-21T09:59:39,2026-03-21T10:08:29,0.6435063274472314,0.6435063274472314,0.318422297637245,0.34599831940973885,0.7788032688271288,0.6972103717051829,0.3677512990053934,0.495102661475833,0.7342243232660072,0.7653715697223982,0.8517488985266799,0.892449165491197,0.7422852014295865,0.7878246527238606,0.37788193540405285,0.5382439681271813,0.5450755473873286,0.606493334506217,0.47212871411042373
